sequences ; seg sites ;  histories; gene_tree ; command
9 ;	3 ;	68040 ;	((2, 3, 6), (1, (0, 8, 5), 4, 7)) ;	ms 9 1 -seeds 1491453794 -s 3 -rho 0.0 1000000 
9 ;	2 ;	775170 ;	(1, 3, (0, 8, 5), 7, (2, 6), 4) ;	ms 9 1 -seeds 1491453794 -s 2 -rho 0.0 1000000 
9 ;	1 ;	2041200 ;	(0, 1, 4, 5, 7, 8, (2, 3, 6)) ;	ms 9 1 -seeds 1491453794 -s 1 -rho 0.0 1000000 
10 ;	20 ;	1020033439425000 ;	((((((((8, 4))))))), ((((1, 6, 9), (((0))), 5), (((3), (7), ((2))))))) ;	ms 10 1 -seeds 1491453794 -s 20 -rho 0.0 1000000 
10 ;	19 ;	15000491756250 ;	((((((1, 6, 9), (((0))), 5), ((((2)), 3, 7))))), (((((((8, 4)))))))) ;	ms 10 1 -seeds 1491453794 -s 19 -rho 0.0 1000000 
10 ;	18 ;	9244747512000 ;	(((((((7), 3, ((2)))), ((1, 6, 9), (((0))), 5)))), (((((8, 4)))))) ;	ms 10 1 -seeds 1491453794 -s 18 -rho 0.0 1000000 
10 ;	17 ;	1230809580000 ;	((((((((7), (2), 3))), ((1, 6, 9), 5, ((0)))))), (((((8, 4)))))) ;	ms 10 1 -seeds 1491453794 -s 17 -rho 0.0 1000000 
10 ;	16 ;	520599022944 ;	((((((1, 6, 9), 5), ((0)), (((7), (2), 3))))), (((((8, 4)))))) ;	ms 10 1 -seeds 1491453794 -s 16 -rho 0.0 1000000 
10 ;	15 ;	148924051848 ;	(((((((8, 4)))))), ((((1, 6, 9), 5), (0), (((7), (2), 3))))) ;	ms 10 1 -seeds 1491453794 -s 15 -rho 0.0 1000000 
10 ;	14 ;	260441153280 ;	((((0), (1, 5, 6, 9), (((7), (2), 3)))), ((((((8, 4))))))) ;	ms 10 1 -seeds 1491453794 -s 14 -rho 0.0 1000000 
10 ;	13 ;	83160665280 ;	(((((7), 2, 3)), (0), (1, 5, 6, 9)), ((((((4, (8)))))))) ;	ms 10 1 -seeds 1491453794 -s 13 -rho 0.0 1000000 
10 ;	12 ;	6563773440 ;	((((((4, (8)))))), (0, (((7), 2, 3)), ((1, 5, 6, 9)))) ;	ms 10 1 -seeds 1491453794 -s 12 -rho 0.0 1000000 
10 ;	11 ;	1148660352 ;	(((((4, (8))))), ((0, ((7), 2, 3), ((1, 5, 6, 9))))) ;	ms 10 1 -seeds 1491453794 -s 11 -rho 0.0 1000000 
10 ;	10 ;	72705600 ;	(((4, (8))), ((((7), 2, 3), (0, ((1, 5, 6, 9)))))) ;	ms 10 1 -seeds 1491453794 -s 10 -rho 0.0 1000000 
10 ;	9 ;	21205800 ;	(((4, (8))), (((0, ((1, 5, 6, 9)))), (2, 3, 7))) ;	ms 10 1 -seeds 1491453794 -s 9 -rho 0.0 1000000 
10 ;	8 ;	6486480 ;	((((0, ((1, 5, 6, 9)))), 2, 3, 7), ((4, (8)))) ;	ms 10 1 -seeds 1491453794 -s 8 -rho 0.0 1000000 
10 ;	7 ;	3386448 ;	(4, (((((1, 5, 6, 9)), (0))), 3, 2, 7), (8)) ;	ms 10 1 -seeds 1491453794 -s 7 -rho 0.0 1000000 
10 ;	6 ;	2102760 ;	(((((0), (1, 5, 6, 9))), 2, 3, 7), 4, (8)) ;	ms 10 1 -seeds 1491453794 -s 6 -rho 0.0 1000000 
10 ;	5 ;	22235310 ;	((2, 3, 7), 4, ((0), (1, 5, 6, 9)), (8)) ;	ms 10 1 -seeds 1491453794 -s 5 -rho 0.0 1000000 
10 ;	4 ;	424255104 ;	(1, (2, 3, 7), 5, 6, 9, (0), (4, (8))) ;	ms 10 1 -seeds 1491453794 -s 4 -rho 0.0 1000000 
10 ;	3 ;	79794000 ;	(0, 1, 5, 6, ((2), 3, 7), 9, (8, 4)) ;	ms 10 1 -seeds 1491453794 -s 3 -rho 0.0 1000000 
10 ;	2 ;	49896000 ;	(3, 4, 7, (0, 1, 5, 6, 9), (2), 8) ;	ms 10 1 -seeds 1491453794 -s 2 -rho 0.0 1000000 
10 ;	1 ;	523908000 ;	(0, 1, 2, 3, 5, 6, 7, 9, (8, 4)) ;	ms 10 1 -seeds 1491453794 -s 1 -rho 0.0 1000000 
